id,company_id,section_type,language,tags,source_type,source_url,created_at,text
doc-123-innovation-1,123,innovation_description,pl,"['AI', 'SaaS', 'generator_wnioskow', 'RAG']",knowledge_base,,2025-09-18T07:03:20.577543Z,"Grantbot.ai to aplikacja SaaS, która automatyzuje przygotowanie wniosków o dotacje z wykorzystaniem AI. System łączy RAG (Retrieval-Augmented Generation) z szablonami procedur NCBR/UE, ułatwiając tworzenie spójnych sekcji wniosku oraz kontrolę limitów."
doc-123-market-1,123,market_analysis,pl,"['rynek', 'B2B', 'agencje', 'SaaS']",desk_research,https://example.org/raport-rynek-dotacji-2024,2025-09-18T07:03:20.577543Z,"Rynek doradztwa dotacyjnego w Polsce rośnie, a kluczową grupą docelową są agencje i firmy pozyskujące finansowanie dla MŚP. Rosnące wymagania formalne i krótkie terminy zwiększają popyt na narzędzia automatyzujące przygotowanie dokumentacji."
doc-123-ip-1,123,ip_strategy,pl,"['IP', 'własność_intelektualna', 'licencje']",internal_policy,,2025-09-18T07:03:20.577543Z,"Strategia IP zakłada własność kodu źródłowego przez spółkę, licencje na modele i embeddingi zgodne z warunkami dostawców. Dane klientów są odseparowane logicznie i szyfrowane w spoczynku oraz w tranzycie."
doc-123-rodo-1,123,compliance,pl,"['RODO', 'privacy', 'security']",policy,https://example.org/polityka-prywatnosci,2025-09-18T07:03:20.577543Z,"System przetwarza wyłącznie dane niezbędne do przygotowania wniosku. Dane osobowe są przetwarzane na podstawie umowy powierzenia, a użytkownik może żądać usunięcia danych. Wdrożono mechanizmy pseudonimizacji i kontroli dostępu."
doc-123-pdf-1,123,deliverables,pl,"['PDF', 'WeasyPrint', 'ReportLab']",tech_note,,2025-09-18T07:03:20.577543Z,Eksport wniosku do PDF realizowany jest przez silnik HTML→PDF z osadzonymi fontami i numeracją stron. Załączniki PDF są dołączane i spisy treści tworzone w pypdf.
doc-123-budget-1,123,budget,pl,"['budżet', 'koszty_personelu', 'SaaS']",finance_note,,2025-09-18T07:03:20.577543Z,"Budżet projektu obejmuje koszty personelu (backend, frontend, AI), infrastrukturę chmurową, licencje narzędzi oraz testy z użytkownikami. Koszty AI optymalizowane są przez cache i batching."
doc-456-innovation-1,456,innovation_description,pl,"['ML', 'automatyzacja']",customer_story,,2025-09-18T07:03:20.577543Z,"Spółka rozwija moduł klasyfikacji dokumentów finansowych z użyciem uczenia maszynowego, redukując czas kwalifikacji kosztów o 40%."
doc-456-risk-1,456,risk_management,pl,"['ryzyko', 'operacyjne', 'techniczne']",risk_register,,2025-09-18T07:03:20.577543Z,"Ryzyka obejmują dostępność modeli AI, zmiany regulacyjne i skalowanie infrastruktury. Mitigacje: multi‑vendor, testy wydajnościowe, alerting SLO, DR/backup."
doc-456-market-1,456,market_analysis,pl,"['rynek_EU', 'konkurencja']",desk_research,,2025-09-18T07:03:20.577543Z,"Na rynku UE rośnie liczba narzędzi wspierających granty, ale brakuje produktów zintegrowanych z CRM i workflow zespołów doradczych."
doc-456-team-1,456,team,pl,"['zespół', 'kompetencje']",internal_doc,,2025-09-18T07:03:20.577543Z,"Zespół posiada doświadczenie w Pythonie, Next.js oraz integracjach z systemami płatności i systemami kolejkowymi (Redis/Celery)."
doc-789-impact-1,789,impact,pl,"['impact', 'cyfryzacja']",proposal_note,,2025-09-18T07:03:20.577543Z,"Projekt przyspieszy cyfryzację przygotowania wniosków w JST, skracając czas od pomysłu do złożenia wniosku nawet o 50% i podnosząc jakość treści dzięki wspomaganiu AI."
doc-789-environment-1,789,environment,pl,"['ESG', 'green_IT']",policy,,2025-09-18T07:03:20.577543Z,"Zastosowanie chmury zasilanej energią odnawialną oraz optymalizacji obliczeń AI (batching, niższe footprinty modeli) zmniejsza ślad węglowy rozwiązania."
doc-123-innovation-en-1,123,innovation_description,en,"['AI', 'RAG', 'SaaS']",knowledge_base,,2025-09-18T07:03:20.577543Z,"Grantbot.ai leverages Retrieval-Augmented Generation to draft grant applications that remain consistent with EU and national guidelines, reducing preparation time and human errors."
doc-456-market-en-1,456,market_analysis,en,"['market', 'EU']",desk_research,,2025-09-18T07:03:20.577543Z,"Advisory agencies need tools that integrate drafting, versioning, and CRM workflows. Vendors focusing solely on text generation underperform in team collaboration scenarios."
